,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-4, usdinr, World_oil_prod]",-0.028,0.094,-0.195,0.157,0.001,0.002,5260.0,1463.0,1.0
"lag_coefs[-4, usdinr, Real_price_oil]",0.021,0.028,-0.033,0.07,0.0,0.0,3848.0,1665.0,1.0
"lag_coefs[-4, usdinr, glob_eco_act]",0.005,0.097,-0.161,0.191,0.001,0.002,4894.0,1511.0,1.0
"lag_coefs[-4, usdinr, usdinr]",-0.058,0.088,-0.229,0.096,0.001,0.002,4803.0,1600.0,1.0
"lag_coefs[-4, usdinr, wui]",0.006,0.015,-0.019,0.039,0.0,0.0,2984.0,1513.0,1.01
"lag_coefs[-4, usdinr, india_gdp]",0.026,0.081,-0.132,0.175,0.001,0.002,3223.0,1731.0,1.0
"lag_coefs[-4, wui, World_oil_prod]",-0.002,0.105,-0.217,0.18,0.002,0.003,4792.0,1231.0,1.0
"lag_coefs[-4, wui, Real_price_oil]",0.015,0.092,-0.154,0.183,0.001,0.002,5385.0,1211.0,1.01
"lag_coefs[-4, wui, glob_eco_act]",-0.0,0.1,-0.178,0.21,0.001,0.003,4715.0,1325.0,1.0
"lag_coefs[-4, wui, usdinr]",0.001,0.096,-0.17,0.185,0.001,0.002,5345.0,1444.0,1.0
"lag_coefs[-4, wui, wui]",-0.048,0.081,-0.191,0.114,0.001,0.002,4579.0,1357.0,1.0
"lag_coefs[-4, wui, india_gdp]",0.01,0.102,-0.192,0.189,0.002,0.003,4481.0,1285.0,1.0
"lag_coefs[-4, india_gdp, World_oil_prod]",0.002,0.094,-0.174,0.173,0.001,0.003,4494.0,1276.0,1.0
"lag_coefs[-4, india_gdp, Real_price_oil]",-0.013,0.035,-0.078,0.057,0.001,0.001,3564.0,1556.0,1.0
"lag_coefs[-4, india_gdp, glob_eco_act]",-0.003,0.1,-0.187,0.177,0.001,0.003,6207.0,1382.0,1.0
"lag_coefs[-4, india_gdp, usdinr]",0.026,0.092,-0.141,0.203,0.001,0.002,4082.0,1476.0,1.0
"lag_coefs[-4, india_gdp, wui]",-0.005,0.02,-0.04,0.034,0.0,0.0,2741.0,1301.0,1.0
"lag_coefs[-4, india_gdp, india_gdp]",-0.04,0.087,-0.211,0.117,0.001,0.002,3555.0,1411.0,1.0
noise[World_oil_prod],0.014,0.002,0.011,0.016,0.0,0.0,1631.0,1535.0,1.0
noise[Real_price_oil],0.182,0.019,0.149,0.218,0.0,0.0,3463.0,1463.0,1.0
noise[glob_eco_act],0.01,0.001,0.008,0.013,0.0,0.0,1403.0,1557.0,1.0
noise[usdinr],0.033,0.004,0.026,0.04,0.0,0.0,2032.0,1417.0,1.0
noise[wui],0.323,0.032,0.268,0.383,0.001,0.0,3440.0,1398.0,1.0
noise[india_gdp],0.043,0.005,0.035,0.052,0.0,0.0,2513.0,1507.0,1.0
