,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, usdyen, glob_eco_act]",0.032,0.098,-0.152,0.21,0.001,0.002,4547.0,1233.0,1.0
"lag_coefs[-2, usdyen, usdinr]",-0.015,0.091,-0.178,0.156,0.001,0.002,3762.0,1261.0,1.0
"lag_coefs[-2, usdyen, usdyen]",-0.023,0.092,-0.196,0.151,0.001,0.003,4097.0,1188.0,1.0
"lag_coefs[-2, usdyen, usdyuan]",0.024,0.101,-0.154,0.223,0.002,0.002,4493.0,1531.0,1.0
"lag_coefs[-2, usdyen, wui]",-0.01,0.02,-0.049,0.027,0.0,0.0,3341.0,1481.0,1.0
"lag_coefs[-2, usdyen, china_gdp]",0.004,0.06,-0.106,0.119,0.001,0.001,2401.0,1617.0,1.0
"lag_coefs[-2, usdyen, india_gdp]",0.03,0.086,-0.132,0.186,0.001,0.002,4332.0,1461.0,1.01
"lag_coefs[-2, usdyen, japan_gdp]",0.037,0.088,-0.122,0.204,0.001,0.002,4238.0,1515.0,1.0
"lag_coefs[-2, usdyuan, World_oil_prod]",-0.014,0.073,-0.153,0.122,0.001,0.002,3655.0,1686.0,1.0
"lag_coefs[-2, usdyuan, Real_price_oil]",-0.006,0.01,-0.023,0.014,0.0,0.0,2672.0,1609.0,1.0
"lag_coefs[-2, usdyuan, glob_eco_act]",0.015,0.087,-0.146,0.183,0.001,0.002,3803.0,1595.0,1.0
"lag_coefs[-2, usdyuan, usdinr]",-0.039,0.058,-0.142,0.077,0.001,0.001,2093.0,1569.0,1.0
"lag_coefs[-2, usdyuan, usdyen]",-0.013,0.059,-0.123,0.093,0.001,0.001,2929.0,1300.0,1.0
"lag_coefs[-2, usdyuan, usdyuan]",-0.006,0.088,-0.169,0.169,0.002,0.002,2749.0,1662.0,1.0
"lag_coefs[-2, usdyuan, wui]",-0.003,0.005,-0.011,0.006,0.0,0.0,3204.0,1853.0,1.0
"lag_coefs[-2, usdyuan, china_gdp]",-0.081,0.032,-0.138,-0.02,0.001,0.001,1199.0,1351.0,1.0
"lag_coefs[-2, usdyuan, india_gdp]",-0.075,0.052,-0.166,0.027,0.001,0.001,2275.0,1666.0,1.0
"lag_coefs[-2, usdyuan, japan_gdp]",0.028,0.055,-0.07,0.137,0.001,0.001,2854.0,1699.0,1.0
"lag_coefs[-2, wui, World_oil_prod]",-0.004,0.099,-0.178,0.193,0.001,0.002,5559.0,1454.0,1.0
"lag_coefs[-2, wui, Real_price_oil]",0.011,0.097,-0.179,0.183,0.002,0.003,4114.0,1372.0,1.0
"lag_coefs[-2, wui, glob_eco_act]",0.0,0.1,-0.184,0.188,0.001,0.003,5733.0,1258.0,1.0
"lag_coefs[-2, wui, usdinr]",0.009,0.099,-0.173,0.191,0.001,0.003,5489.0,1346.0,1.0
"lag_coefs[-2, wui, usdyen]",-0.0,0.098,-0.17,0.199,0.002,0.002,4094.0,1585.0,1.0
"lag_coefs[-2, wui, usdyuan]",0.003,0.102,-0.174,0.204,0.001,0.003,6164.0,1551.0,1.0
"lag_coefs[-2, wui, wui]",-0.042,0.079,-0.187,0.106,0.001,0.002,4271.0,1369.0,1.0
"lag_coefs[-2, wui, china_gdp]",-0.013,0.096,-0.186,0.173,0.002,0.003,3997.0,1292.0,1.0
