,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-3, glob_eco_act, wui]",-0.002,0.005,-0.012,0.009,0.0,0.0,3174.0,1827.0,1.0
"lag_coefs[-3, usdinr, World_oil_prod]",0.007,0.096,-0.172,0.187,0.001,0.003,5612.0,1348.0,1.01
"lag_coefs[-3, usdinr, Real_price_oil]",-0.002,0.028,-0.054,0.049,0.0,0.001,3675.0,1295.0,1.0
"lag_coefs[-3, usdinr, glob_eco_act]",0.006,0.093,-0.173,0.168,0.001,0.002,4198.0,1491.0,1.0
"lag_coefs[-3, usdinr, usdinr]",0.007,0.088,-0.169,0.161,0.001,0.002,5311.0,1073.0,1.01
"lag_coefs[-3, usdinr, usdyen]",-0.052,0.078,-0.196,0.089,0.001,0.001,3685.0,1592.0,1.0
"lag_coefs[-3, usdinr, usdyuan]",-0.046,0.097,-0.231,0.137,0.001,0.002,5037.0,1690.0,1.0
"lag_coefs[-3, usdinr, wui]",-0.003,0.017,-0.034,0.031,0.0,0.0,3119.0,1714.0,1.0
"lag_coefs[-3, usdyen, World_oil_prod]",-0.009,0.098,-0.195,0.17,0.001,0.002,4808.0,1354.0,1.0
"lag_coefs[-3, usdyen, Real_price_oil]",-0.005,0.034,-0.068,0.059,0.001,0.001,4108.0,1787.0,1.0
"lag_coefs[-3, usdyen, glob_eco_act]",0.017,0.1,-0.163,0.212,0.001,0.003,5115.0,1074.0,1.0
"lag_coefs[-3, usdyen, usdinr]",0.034,0.087,-0.121,0.215,0.001,0.002,3786.0,1366.0,1.0
"lag_coefs[-3, usdyen, usdyen]",0.055,0.084,-0.097,0.215,0.001,0.002,4291.0,1248.0,1.0
"lag_coefs[-3, usdyen, usdyuan]",0.029,0.099,-0.176,0.203,0.001,0.002,4320.0,1501.0,1.0
"lag_coefs[-3, usdyen, wui]",-0.001,0.02,-0.038,0.037,0.0,0.0,2704.0,1630.0,1.0
"lag_coefs[-3, usdyuan, World_oil_prod]",0.059,0.065,-0.069,0.178,0.001,0.001,3262.0,1539.0,1.0
"lag_coefs[-3, usdyuan, Real_price_oil]",-0.001,0.009,-0.018,0.015,0.0,0.0,3172.0,1668.0,1.0
"lag_coefs[-3, usdyuan, glob_eco_act]",-0.018,0.089,-0.199,0.135,0.001,0.002,4729.0,1311.0,1.0
"lag_coefs[-3, usdyuan, usdinr]",0.093,0.041,0.008,0.166,0.001,0.001,3572.0,1415.0,1.0
"lag_coefs[-3, usdyuan, usdyen]",-0.001,0.038,-0.067,0.078,0.001,0.001,2730.0,1695.0,1.0
"lag_coefs[-3, usdyuan, usdyuan]",0.118,0.084,-0.048,0.272,0.001,0.001,3375.0,1413.0,1.0
"lag_coefs[-3, usdyuan, wui]",-0.002,0.005,-0.011,0.007,0.0,0.0,2135.0,1480.0,1.0
"lag_coefs[-3, wui, World_oil_prod]",-0.002,0.097,-0.177,0.185,0.001,0.003,4773.0,1235.0,1.0
"lag_coefs[-3, wui, Real_price_oil]",0.013,0.092,-0.156,0.184,0.001,0.002,3963.0,1396.0,1.0
"lag_coefs[-3, wui, glob_eco_act]",-0.003,0.094,-0.186,0.17,0.001,0.003,5285.0,1280.0,1.0
"lag_coefs[-3, wui, usdinr]",-0.001,0.099,-0.203,0.176,0.002,0.003,3826.0,1272.0,1.0
"lag_coefs[-3, wui, usdyen]",-0.006,0.097,-0.181,0.183,0.001,0.002,5127.0,1522.0,1.0
"lag_coefs[-3, wui, usdyuan]",-0.002,0.101,-0.178,0.192,0.001,0.003,4969.0,1380.0,1.0
"lag_coefs[-3, wui, wui]",-0.028,0.081,-0.169,0.139,0.001,0.002,3287.0,1438.0,1.0
"lag_coefs[-4, World_oil_prod, World_oil_prod]",0.004,0.083,-0.135,0.166,0.001,0.002,4310.0,1327.0,1.0
"lag_coefs[-4, World_oil_prod, Real_price_oil]",-0.017,0.014,-0.041,0.009,0.0,0.0,3149.0,1644.0,1.0
"lag_coefs[-4, World_oil_prod, glob_eco_act]",0.081,0.084,-0.072,0.243,0.001,0.001,4135.0,1362.0,1.0
"lag_coefs[-4, World_oil_prod, usdinr]",-0.035,0.054,-0.138,0.062,0.001,0.001,3611.0,1498.0,1.0
"lag_coefs[-4, World_oil_prod, usdyen]",0.038,0.051,-0.06,0.131,0.001,0.001,3262.0,1664.0,1.0
"lag_coefs[-4, World_oil_prod, usdyuan]",0.023,0.093,-0.149,0.2,0.001,0.002,4514.0,1287.0,1.0
"lag_coefs[-4, World_oil_prod, wui]",-0.0,0.007,-0.012,0.013,0.0,0.0,3240.0,1391.0,1.0
"lag_coefs[-4, Real_price_oil, World_oil_prod]",0.002,0.099,-0.177,0.189,0.001,0.003,4459.0,1404.0,1.0
"lag_coefs[-4, Real_price_oil, Real_price_oil]",0.04,0.083,-0.123,0.179,0.001,0.002,4212.0,1587.0,1.0
"lag_coefs[-4, Real_price_oil, glob_eco_act]",-0.003,0.104,-0.208,0.185,0.002,0.003,3818.0,1355.0,1.0
"lag_coefs[-4, Real_price_oil, usdinr]",0.004,0.103,-0.182,0.217,0.002,0.003,4410.0,1041.0,1.0
"lag_coefs[-4, Real_price_oil, usdyen]",-0.001,0.1,-0.168,0.198,0.001,0.003,4838.0,1298.0,1.0
"lag_coefs[-4, Real_price_oil, usdyuan]",0.003,0.1,-0.192,0.188,0.001,0.003,5394.0,1328.0,1.0
