,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-3, glob_eco_act, World_oil_prod]",0.003,0.068,-0.13,0.123,0.001,0.001,2515.0,1476.0,1.0
"lag_coefs[-3, glob_eco_act, Real_price_oil]",-0.006,0.011,-0.027,0.014,0.0,0.0,1233.0,1491.0,1.0
"lag_coefs[-3, glob_eco_act, glob_eco_act]",0.018,0.088,-0.15,0.178,0.002,0.002,2356.0,1570.0,1.0
"lag_coefs[-3, glob_eco_act, usdyuan]",0.052,0.087,-0.113,0.205,0.002,0.002,1926.0,1609.0,1.0
"lag_coefs[-3, glob_eco_act, wui]",0.002,0.006,-0.008,0.013,0.0,0.0,1607.0,1218.0,1.0
"lag_coefs[-3, glob_eco_act, china_gdp]",-0.025,0.034,-0.099,0.032,0.002,0.001,493.0,750.0,1.0
"lag_coefs[-3, usdyuan, World_oil_prod]",0.052,0.067,-0.07,0.182,0.001,0.001,2540.0,1507.0,1.0
"lag_coefs[-3, usdyuan, Real_price_oil]",0.001,0.009,-0.017,0.018,0.0,0.0,1903.0,1554.0,1.0
"lag_coefs[-3, usdyuan, glob_eco_act]",-0.005,0.086,-0.171,0.156,0.002,0.002,2448.0,1476.0,1.0
"lag_coefs[-3, usdyuan, usdyuan]",0.036,0.088,-0.115,0.211,0.002,0.002,1903.0,1527.0,1.0
"lag_coefs[-3, usdyuan, wui]",-0.003,0.005,-0.012,0.005,0.0,0.0,1959.0,1557.0,1.0
"lag_coefs[-3, usdyuan, china_gdp]",-0.077,0.03,-0.133,-0.022,0.001,0.001,477.0,783.0,1.0
"lag_coefs[-3, wui, World_oil_prod]",-0.004,0.107,-0.195,0.194,0.002,0.003,2421.0,1339.0,1.0
"lag_coefs[-3, wui, Real_price_oil]",0.009,0.093,-0.162,0.187,0.002,0.002,2851.0,1487.0,1.0
"lag_coefs[-3, wui, glob_eco_act]",-0.002,0.103,-0.187,0.192,0.002,0.003,3687.0,1083.0,1.0
"lag_coefs[-3, wui, usdyuan]",-0.003,0.101,-0.189,0.191,0.002,0.002,2635.0,1548.0,1.0
"lag_coefs[-3, wui, wui]",-0.025,0.082,-0.182,0.121,0.002,0.002,2919.0,1521.0,1.0
"lag_coefs[-3, wui, china_gdp]",0.035,0.098,-0.166,0.21,0.002,0.002,2408.0,1744.0,1.0
"lag_coefs[-3, china_gdp, World_oil_prod]",0.015,0.091,-0.171,0.167,0.002,0.002,2087.0,1694.0,1.0
"lag_coefs[-3, china_gdp, Real_price_oil]",-0.002,0.023,-0.046,0.043,0.001,0.0,2055.0,1498.0,1.0
"lag_coefs[-3, china_gdp, glob_eco_act]",0.011,0.095,-0.169,0.195,0.002,0.002,2875.0,1662.0,1.0
"lag_coefs[-3, china_gdp, usdyuan]",-0.011,0.097,-0.187,0.168,0.002,0.002,3598.0,1610.0,1.0
"lag_coefs[-3, china_gdp, wui]",0.003,0.013,-0.021,0.028,0.0,0.0,1861.0,1510.0,1.0
"lag_coefs[-3, china_gdp, china_gdp]",-0.155,0.051,-0.253,-0.062,0.002,0.001,960.0,1326.0,1.0
"lag_coefs[-4, World_oil_prod, World_oil_prod]",-0.005,0.085,-0.163,0.153,0.002,0.002,2835.0,1334.0,1.0
"lag_coefs[-4, World_oil_prod, Real_price_oil]",-0.013,0.014,-0.038,0.015,0.0,0.0,1567.0,1246.0,1.0
"lag_coefs[-4, World_oil_prod, glob_eco_act]",0.089,0.088,-0.075,0.252,0.002,0.001,2574.0,1881.0,1.0
"lag_coefs[-4, World_oil_prod, usdyuan]",0.019,0.095,-0.155,0.202,0.002,0.002,1855.0,1473.0,1.0
"lag_coefs[-4, World_oil_prod, wui]",-0.0,0.007,-0.012,0.013,0.0,0.0,2159.0,1360.0,1.0
"lag_coefs[-4, World_oil_prod, china_gdp]",-0.007,0.035,-0.078,0.052,0.001,0.001,545.0,876.0,1.0
"lag_coefs[-4, Real_price_oil, World_oil_prod]",0.001,0.101,-0.186,0.194,0.002,0.002,3148.0,1622.0,1.0
"lag_coefs[-4, Real_price_oil, Real_price_oil]",0.035,0.085,-0.118,0.194,0.002,0.002,2004.0,1435.0,1.0
"lag_coefs[-4, Real_price_oil, glob_eco_act]",-0.005,0.098,-0.193,0.169,0.002,0.002,2803.0,1582.0,1.0
"lag_coefs[-4, Real_price_oil, usdyuan]",0.005,0.101,-0.183,0.188,0.002,0.002,2068.0,1507.0,1.0
"lag_coefs[-4, Real_price_oil, wui]",0.036,0.063,-0.073,0.166,0.001,0.001,2480.0,1580.0,1.0
"lag_coefs[-4, Real_price_oil, china_gdp]",0.019,0.091,-0.152,0.188,0.002,0.002,2555.0,1504.0,1.0
"lag_coefs[-4, glob_eco_act, World_oil_prod]",-0.039,0.075,-0.177,0.102,0.002,0.001,1897.0,1562.0,1.0
"lag_coefs[-4, glob_eco_act, Real_price_oil]",0.003,0.012,-0.021,0.023,0.0,0.0,1146.0,1088.0,1.0
"lag_coefs[-4, glob_eco_act, glob_eco_act]",-0.062,0.08,-0.21,0.091,0.002,0.001,2360.0,1617.0,1.0
"lag_coefs[-4, glob_eco_act, usdyuan]",0.013,0.091,-0.172,0.17,0.002,0.002,1648.0,1553.0,1.0
"lag_coefs[-4, glob_eco_act, wui]",-0.006,0.005,-0.016,0.005,0.0,0.0,2187.0,1526.0,1.0
"lag_coefs[-4, glob_eco_act, china_gdp]",-0.039,0.032,-0.109,0.017,0.001,0.001,470.0,665.0,1.0
"lag_coefs[-4, usdyuan, World_oil_prod]",-0.012,0.07,-0.144,0.122,0.002,0.001,2026.0,1417.0,1.0
"lag_coefs[-4, usdyuan, Real_price_oil]",-0.011,0.01,-0.031,0.007,0.0,0.0,1345.0,1341.0,1.0
"lag_coefs[-4, usdyuan, glob_eco_act]",-0.046,0.079,-0.191,0.101,0.002,0.002,2462.0,1301.0,1.0
"lag_coefs[-4, usdyuan, usdyuan]",-0.002,0.086,-0.154,0.175,0.002,0.002,1779.0,1754.0,1.0
"lag_coefs[-4, usdyuan, wui]",-0.012,0.005,-0.021,-0.003,0.0,0.0,1551.0,1445.0,1.0
"lag_coefs[-4, usdyuan, china_gdp]",-0.093,0.03,-0.146,-0.031,0.001,0.001,447.0,616.0,1.0
"lag_coefs[-4, wui, World_oil_prod]",-0.0,0.101,-0.19,0.189,0.002,0.002,2761.0,1412.0,1.0
